parent_tweet_id,source_account,parent_context,event,match,team,player,parent_tweet_timestamp,notes
2069367398214562161,FIFAWorldCup,unknown,unknown,multiple,,,,
2069359817282789383,FIFAWorldCup,unknown,unknown,multiple,,,,
2069390010445344865,FIFAWorldCup,unknown,unknown,multiple,,,,
2069469667668771053,FIFAWorldCup,unknown,unknown,multiple,,,,
2069502723125338295,FIFAWorldCup,unknown,unknown,multiple,,,,
2069547242428457247,FIFAWorldCup,unknown,unknown,multiple,,,,
2069633110703243324,FIFAWorldCup,unknown,unknown,multiple,,,,
2069887255305466045,FIFAWorldCup,unknown,unknown,multiple,,,,
2069888795743281188,FIFAWorldCup,unknown,unknown,multiple,,,,
2069890305675931724,FIFAWorldCup,unknown,unknown,multiple,,,,
2069468618476200189,FIFAWorldCup,unknown,unknown,multiple,,,,
